Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año
ANCASH,HUARAZ,LA LIBERTAD,20107,968.0,264.0,7.0,0.10476190476190476,2022
ANCASH,HUARAZ,OLLEROS,20108,1768.0,296.0,6.0,0.10979358988618247,2022
ANCASH,HUARAZ,OLLEROS,20108,1768.0,297.0,6.0,0.10979358988618247,2022
ANCASH,HUARAZ,OLLEROS,20108,1768.0,300.0,6.0,0.10979358988618247,2022
ANCASH,HUARAZ,PAMPAS GRANDE,20109,680.0,264.0,5.0,0.11796169239565465,2022
ANCASH,HUARAZ,PAMPAS GRANDE,20109,680.0,265.0,5.0,0.11796169239565465,2022
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,270.0,7.0,0.09875485080560092,2022
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,271.0,7.0,0.09875485080560092,2022
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,300.0,7.0,0.09875485080560092,2022
ANCASH,HUARAZ,PIRA,20111,2666.0,264.0,6.0,0.11925911788465318,2022
ANCASH,HUARAZ,PIRA,20111,2666.0,265.0,6.0,0.11925911788465318,2022
ANCASH,HUARAZ,PIRA,20111,2666.0,248.0,6.0,0.11925911788465318,2022
ANCASH,HUARAZ,PIRA,20111,2666.0,249.0,6.0,0.11925911788465318,2022
ANCASH,HUARAZ,TARICA,20112,3428.0,289.0,6.0,0.11076116922251784,2022
ANCASH,HUARAZ,TARICA,20112,3428.0,287.0,6.0,0.11076116922251784,2022
ANCASH,HUARAZ,TARICA,20112,3428.0,288.0,6.0,0.11076116922251784,2022
ANCASH,HUARAZ,TARICA,20112,3428.0,300.0,6.0,0.11076116922251784,2022
ANCASH,AIJA,CORIS,20203,1013.0,298.0,5.0,0.1358820228502166,2022
ANCASH,AIJA,CORIS,20203,1013.0,299.0,5.0,0.1358820228502166,2022
ANCASH,AIJA,HUACLLAN,20205,381.0,225.0,3.0,0.2822222222222222,2022
ANCASH,AIJA,LA MERCED,20206,1406.0,278.0,4.0,0.18925985564749842,2022
ANCASH,AIJA,LA MERCED,20206,1406.0,279.0,4.0,0.18925985564749842,2022
ANCASH,AIJA,SUCCHA,20208,574.0,252.0,4.0,0.1893011376707029,2022
ANCASH,AIJA,SUCCHA,20208,574.0,253.0,4.0,0.1893011376707029,2022
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,20302,174.0,255.0,3.0,0.22745098039215686,2022
ANCASH,BOLOGNESI,AQUIA,20304,822.0,293.0,3.0,0.15532879818594106,2022
ANCASH,BOLOGNESI,AQUIA,20304,822.0,294.0,3.0,0.15532879818594106,2022
ANCASH,BOLOGNESI,CAJACAY,20305,1032.0,254.0,4.0,0.16907647573465082,2022
ANCASH,BOLOGNESI,CAJACAY,20305,1032.0,255.0,4.0,0.16907647573465082,2022
ANCASH,BOLOGNESI,HUAYLLACAYAN,20310,655.0,214.0,4.0,0.16239734030164046,2022
ANCASH,BOLOGNESI,HUAYLLACAYAN,20310,655.0,215.0,4.0,0.16239734030164046,2022
ANCASH,BOLOGNESI,HUASTA,20311,1015.0,241.0,3.0,0.22288123424672499,2022
ANCASH,BOLOGNESI,HUASTA,20311,1015.0,242.0,3.0,0.22288123424672499,2022
ANCASH,BOLOGNESI,MANGAS,20313,393.0,279.0,2.0,0.35152009728622635,2022
